source_file,page,site_title,site_description,city_province,media_format,site_number,rate_card_zar,discounted_rate_zar,city_town,suburb,address,production_flighting_zar,material,illuminated,lsm,available,traffic_count,gps_coordinates,dimensions,kmz_file
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,35,"Canal Walk Mall,, Cape Town","Site Description The Food Court screen, positioned above the court seating area.",Cape Town | Western Cape,Digital Screen | Indoor,BS-203,30 000,20 000,Cape Town,Century City,,,,,6 – 10+ Canal Walk Mall,"Immediately
Traffic Count:",1 500 000,"33°53'34""S 18°30'42""E","4,6m (h) x 7,7m (w) = 35,42m²",1 500 000 .kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,36,"Canal Walk Mall,, Cape Town","Site Description The Centre Court screen, positioned above the main promotions court.",Cape Town | Western Cape,Digital Screen | Indoor,BS-204,30 000,20 000,Cape Town,Century City,,,408,,6 – 10+,,1 500 000,"Notes: 33°53'34""S 18°30'42""E","3,1m (h) x 6,3m (w) = 19,53m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,37,"Canal Walk Mall,, Cape Town","Site Description The East and West Bookend Billboards, on the corner of the building near Entrances 1 & 4.",Cape Town | Western Cape,Static Wall Billboard | Outdoor,BS-205,50 000,40 000,Cape Town,Century City,"Production & 19 500
 Canal Walk Mall, Century City,",,PVC,Yes,6 – 10+,"Immediately Canal Walk Mall
Traffic Count:",1 500 000,"33°53'34""S 18°30'42""E","2,5m (h) x 5m (w) = 12,5m²",1 500 000 .kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,38,"Canal Walk Mall,, Cape Town","Site Description Century Blvd billboards, facing in both directions.",Cape Town | Western Cape,Static Wall Billboard | Outdoor,BS-206,50 000,40 000,Cape Town,Century City,"Production & 19 500
 Canal Walk Mall, Century City,",,PVC,Yes,6 – 10+,"Immediately Canal Walk Mall
Traffic Count:",1 500 000,"33°53'34""S 18°30'42""E",6m (h) x 3m (w) = 18m²,1 500 000 .kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,39,"Cape Gate Mall,, Cape Town","Site Description Cape Gate currently has main Digital Screen in the Food Court, located on the upper level of the mall.",Cape Town | Western Cape,Digital Screen | Indoor,BS-207,20 000,15 000,Cape Town,Brackenfell,,,,,5 – 9+ Cape Gate Mall,"Immediately
Traffic Count:",860 000,"33°51'03""S 18°41'50""E","3,1m (h) x 5,74m (w) = 17,8m²",860 000 .kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,40,"Cape Gate Mall,, Cape Town","Site Description Cape Gate’s Liftshaft advertising, right below the Food Court digital screen, visible from both levels.",Cape Town | Western Cape,Static Hanging Banner | Indoor,BS-209,35 000,25 000,Cape Town,Brackenfell,"Production & 16 500
 Cape Gate Precinct, Brackenfell,",,Contra-Vision,Yes,5 – 9+ Cape Gate Mall,"Immediately
Traffic Count:",860 000,"33°51'03""S 18°41'50""E",6m (h) x 5m (w) = 30m²,860 000 .kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,41,"N2 | Somerset Mall,, Cape Town",,"N2 | Somerset Mall,",Cape Town,BS-214,60 000,50 000,Cape Town,Somerset West,,,,,5 – 10+,Immediately,860 000,"Notes: 34°04'55""S 18°49'31""E","3,5m (h) x 15m (w) = 52,5m² x 2",Immediately Somerset Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,42,"Somerset Mall,, Cape Town","Site Description Somerset Mall has several options for outdoor advertising, featuring a Large Digital Screen, at the main entrance.",Cape Town | Western Cape,Digital Screen | Outdoor,BS-215,60 000,50 000,Cape Town,Somerset West,,,,,5 – 10+,Immediately,860 000,"Notes: 34°04'55""S 18°49'31""E",5m (h) x 10m (w) = 50m²,Immediately Somerset Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,43,"Wynberg Taxi Rank,, Cape Town","Site Description Part of Wynberg Public Transport Interchange in Cape Town is a crucial hub, integrating taxi services, bus terminals, and a train station.",Cape Town | Western Cape,Static Billboard | Outdoor,BS-086,45 000,35 000,Cape Town,Wynberg,"Production & 21 500
 Wynberg Taxi Rank, Wynberg,",,PVC,Yes,5 – 9+ Wynberg Taxi Rank.kmz,,1 200 000,"Notes: 34°00'18""S 18°28'14""E",3m (h) x 12m (w) = 36m²,
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,44,"Nonkqubela Taxi, Rank, Cape Town","Site Description This L-shaped billboard is right at the heart of Nonkqubela Taxi Rank and Train Station, and a public transport hub in Khaylitsha.",Cape Town | Western Cape,Static Billboard | Outdoor,BS-089,65 000,50 000,Cape Town,Khaylitsha,"Production & 29 500
 Nonkqubela Taxi Rank, Khaylitsha",,PVC,Yes,5 – 9+ Nonkqubela Taxi,"Immediately
Traffic Count:",1 600 000,"34°01'38""S 18°39'50""E",3m (h) x 30m (w) = 290m²,1 600 000 Rank.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,45,"Langa Taxi Rank,, Cape Town","Site Description Directly opposite Langa Public Transport Interchange in Cape Town is a crucial hub, integrating taxi services with local shopping precinct.",Cape Town | Western Cape,Static Billboard | Outdoor,BS-092,35 000,28 000,Cape Town,Langa,"Production & 15 500
 LangaTaxi Rank, Langa",,PVC,Yes,4–8,Immediately,900 000,"Notes: 33°56'43""S 18°32'19""E",3m (h) x 6m (w) = 18m²,Immediately Langa Taxi Rank.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,46,"Langa Traffic Circle,, Cape Town",Site Description Located on Washington Drive opposite Astron Energy capturing traffic travelling towards to Langa Taxi Rank and Langa CBD.,Cape Town | Western Cape,Static Billboard | Outdoor,BS-094,45 000,35 000,Cape Town,Langa,"Production & 21 500
 Washington Drive, Langa,",,PVC,Yes,4–8 Langa Circle.kmz,,900 000,"Notes: 33°56'44""S 18°31'58""E","4,5m (h) x 18m (w) = 81m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,47,"Gugulethu Crossing,, Cape Town","Site Description Gugulethu Crossing is a new Shopping Centre development in the heart of Gugulethu in Cape Town, this exciting opportunity presents a strategically located for Development Wrap.",Cape Town | Western Cape,Static Wrap | Outdoor,BS-096,70 000,55 000,Cape Town,Gugulethu,"Production & 45 500
 Klipfontein Road, Gugulethu,",,PVC,Yes,4–8 Gugulethu,"Immediately
Traffic Count:",800 000,"-33.977689, 18.571513",5m (h) x 50m (w) = 250m²,800 000 Crossing.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,48,"Delft Taxi Rank,, Cape Town",Site Description Delft Taxi Rank situated right next to Deft Mall and at the heart of Delft CBD.,Cape Town | Western Cape,Static Tower | Outdoor,BS-099,40 000,35 000,Cape Town,Delft,"Production & 21 500
 51 Verlorenvlei Crescent, Delft, Cape",,PVC,No,4–8 Delft Taxi Rank.kmz,,1 100 000,"Notes: -33.976486, 18.642565",8m (h) x 3m (w) = 24m²,
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,50,"Hemingways Mall,, East London","Site Description High-visibility ad placement suspended from the ceiling, ensuring visibility from various angles within the mall. This format is perfect for creating a striking visual impact.",East Lomdon | Eastern Cape,Static Sky Cube | indoor,BS-301,15 000,10 000,East London,Cambridge Production &,"18 000
 Hemingways Mall, Cnr Western Avenue",,PVC,Yes,5 – 10+,"Immediately Hemingways
Traffic Count: 560 000 GPS Coordinates:",560 000,Mall.kmz,"1,5m (h) x 6m (w) = 9m²",Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,51,"Hemingways Mall,, East London","Site Description Hemingways Mall Main Atrium has a high-visibility ad placement suspended from the ceiling, ensuring visibility from various angles within the mall.",East Lomdon | Eastern Cape,Static Hanging Banners | indoor,BS-302,8 000,6 000,East London,Cambridge Production &,"10 000
 Hemingways Mall, Cnr Western Avenue",,Contra Vision | Vinyl,Yes Hemingways,5 – 10+ Mall.kmz,,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E","3m (h) x 1,5m (w) = 4,5m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,52,"Hemingways Mall,, East London",Site Description Hemingways Mall four entrance lifts present an opportunity to engage customers with advertising on and around lift doors. This prime placement ensures your brand is noticed and remembered during waiting times.,East Lomdon | Eastern Cape,Static Lift Wrap | indoor,BS-303,8 500,5 500,East London,Cambridge Production &,"8 600
 Hemingways Mall, Cnr Western Avenue",,Contra Vision | Vinyl,Yes,5 – 10+ Hemingways,Immediately,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E","2,1m (h) x 1,5m (w) = 3,36m²",Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,53,"Hemingways Mall,, East London","Site Description Hemingways Mall Positioned in prime locations; the busy Wimpy and Woolworths entrances, these ads ensure your brand captures the attention of shoppers as they travel between floors",East Lomdon | Eastern Cape,Static Escalator Wrap | indoor,BS-304,15 000,10 000,East London,Cambridge Production &,"15 600
 Hemingways Mall, Cnr Western Avenue",,Contra Vision | Vinyl,Yes,5 – 10+ Hemingways,"Immediately
Traffic Count:",560 000,"32°58'14.41""S 27°54'6.90""E",m (h) x m (w) = m² (TBC),560 000 Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,54,"Hemingways Mall,, East London","Site Description Position your brand at the forefront with our strategically placed banners around the atrium’s curved wall. This premium location ensures maximum visibility in high -traffic areas, capturing the attention of countless visitors.",East Lomdon | Eastern Cape,Static Atrium Walls | indoor,BS-305,8 000,5 000,East London,Cambridge Production &,"15 000
 Hemingways Mall, Cnr Western Avenue",,PVC,Yes,5 – 10+ Hemingways,Immediately,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E","1,5m (h) x 18m (w) = 27m²",Immediately Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,55,"Hemingways Mall,, East London","Site Description Position your brand at the forefront with our strategically placed banners around the atrium’s curved wall. This premium location ensures maximum visibility in high -traffic areas, capturing the attention of countless visitors.",East Lomdon | Eastern Cape,Static Wall Banners | indoor,BS-306,8 000,6 000,East London,Cambridge Production &,"15 000
 Hemingways Mall, Cnr Western Avenue",,Fabric Frame,Yes Hemingways,5 – 10+ Mall.kmz,,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E","1,5m (h) x 3m (w) = 4,5m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,56,"Hemingways Mall,, East London",Site Description Capture shoppers' attention with vibrant ads on lift enclosures by the escalators. These prime spots in high -traffic areas ensure your message is seen as people travel up or down.,East Lomdon | Eastern Cape,Static Elevator Panels | indoor,BS-307,10 000,8 000,East London,Cambridge Production &,"15 000
 Hemingways Mall, Cnr Western Avenue",,Contra Vision | Vinyl,Yes,5 – 10+ Hemingways,Immediately,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E","1,21m (h) x 1,98m (w) = 2,39m²",Immediately Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,57,"Hemingways Mall,, East London","Site Description Large, strategically placed banners on prominent walls capture the attention of passersby. These banners o er excellent visibility and can be customized to highlight your brand’s key messaging.",East Lomdon | Eastern Cape,Static Exit Wall Banner | indoor,BS-308,8 500,6 500,East London,Cambridge Production &,"9 600
 Hemingways Mall, Cnr Western Avenue",,PVC,Yes,5 – 10+ Hemingways,Immediately,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E","3,7m (h) x 4m (w) = 14,8m²",Immediately Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,58,"Hemingways Mall,, East London","Site Description Large, strategically placed banners on prominent walls capture the attention of passersby. These banners o er excellent visibility and can be customized to highlight your brand’s key messaging.",East Lomdon | Eastern Cape,Digital Screen | indoor,BS-309,8 000,6 000,East London,Cambridge,,,,,5 – 10+ Hemingways,"Immediately
Traffic Count:",560 000,"32°58'14.41""S 27°54'6.90""E","1,2m (h) x 2,5m (w) = 3m²",560 000 Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,59,"Hemingways Mall,, East London","Site Description Located at the busy Casino Entrance Parking, ideal for high - quality graphics on glass doors to create a memorable first impression and attract foot traffic.",East Lomdon | Eastern Cape,Static Glass Wall Wrap | Outdoor,BS-310,12 000,10 000,East London,Cambridge Production &,"15 000
 Hemingways Mall, Cnr Western Avenue",,Contra Vision | Vinyl,Yes,5 – 10+,,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E",m (h) x m (w) = m² (TBC),
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,60,"Hemingways Mall,, East London","Site Description Main Parking outside Entrance 1, capturing the attention of shoppers before they even enter the mall with parking lot banner advertising.",East Lomdon | Eastern Cape,Static Parking Wall | Outdoor,BS-311,15 000,12 000,East London,Cambridge Production &,"15 000
 Hemingways Mall, Cnr Western Avenue",,PVC,Yes,5 – 10+ Hemingways,Immediately,560 000,"Notes: 32°58'14.41""S 27°54'6.90""E",3m (h) x 8m (w) = 24m²,Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,61,"Baywest Mall,, Gqiberha","Site Description Baywest Mall has 7 x double sided screens, content displayed on all screens, accessible in both lower and upper grounds.",Gqeberha (Port Elizabeth) | Eastern Cape,Digital Screen | indoor,BS-401,8 000,5 000,,Baywest Boulevard,,,,,5 – 10+,,896 000,"Notes: 33°57'5.01""S 25°27'46.78""E","1,9m (h) x 1,6m (w) = 3,04m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,62,"Baywest Mall,, Gqiberha","Site Description Baywest Mall has the Largest public screen in Southern Africa, located in Food Court at Lower Ground",Gqeberha (Port Elizabeth) | Eastern Cape,Digital Screen | indoor,BS-402,50 000,45 000,,Baywest Boulevard,,,,,5 – 10+,,896 000,"Notes: 33°57'5.01""S 25°27'46.78""E",6m (h) x 12m (w) = 72m²,
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,63,"Baywest Mall,, Gqiberha","Site Description Baywest Mall has revolving doors in both Lower and Upper Ground Entrances 1, 2, 3 & 4.",Gqeberha (Port Elizabeth) | Eastern Cape,Static Revolving Door Panels | Indoor + Outdoor,BS-403,10 000,8 000,,Baywest Boulevard Production &,"15 000
 100 Baywest Boulevard, Hunters",,PVC,Yes,5 – 10+,,896 000,"Notes: 33°57'5.01""S 25°27'46.78""E",m (h) x m (w) = m² (TBC),
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,64,"Baywest Mall,, Gqiberha","Site Description 4 x sets of lifts located on both the Lower and Upper Ground, each set is close to an entrance/exit.",Gqeberha (Port Elizabeth) | Eastern Cape,Static Lift Door Wrap | Indoor + Outdoor,BS-404,8 000,4 500,,Baywest Boulevard Production &,"10 000
 100 Baywest Boulevard, Hunters",,Contra Vision | Vinyl,Yes,5 – 10+,,896 000,"Notes: 33°57'5.01""S 25°27'46.78""E","2,1m (h) x 1,5m (w) = 3,36m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,65,"Baywest Mall,, Gqiberha",Site Description Large Roadside Billboard outside the mall between Entrance 1 & 2. This strategic billboard is facing N2 motorway.,Gqeberha (Port Elizabeth) | Eastern Cape,Static Roadside Billboard | Outdoor,BS-405,20 000,15 000,,Baywest Boulevard Production &,"22 500
 100 Baywest Boulevard, Hunters",,PVC,Yes,5 – 10+,,896 000,"Notes: 33°57'5.01""S 25°27'46.78""E",4m (h) x 18m (w) = 72m²,
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,66,"Baywest Mall,, Gqiberha",Site Description Baywest Mall has a Large 4m x 16m at the main entrance of the centre capturing traffic coming to the Largest Shopping Destination in the entire Eastern Cape province.,Gqeberha (Port Elizabeth) | Eastern Cape,Static Entrance Gantry Billboard | Outdoor,BS-406,60 000,50 000,,Baywest Boulevard Production &,"22 500
 100 Baywest Boulevard, Hunters",,PVC,Yes,5 – 10+,,896 000,"Notes: 33°57'5.01""S 25°27'46.78""E",4m (h) x 16m (w) = 64m²,
