station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Algoa FM,station,,,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|station,radio_algoa_fm,radio_station
Algoa FM,slot,00:00-05:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|00:00-05:00,radio_algoa_fm,radio_slot
Algoa FM,slot,05:00-06:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|05:00-06:00,radio_algoa_fm,radio_slot
Algoa FM,slot,06:00-09:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|06:00-09:00,radio_algoa_fm,radio_slot
Algoa FM,slot,09:00-12:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|09:00-12:00,radio_algoa_fm,radio_slot
Algoa FM,slot,12:00-15:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|12:00-15:00,radio_algoa_fm,radio_slot
Algoa FM,slot,15:00-19:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|15:00-19:00,radio_algoa_fm,radio_slot
Algoa FM,slot,19:00-21:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|19:00-21:00,radio_algoa_fm,radio_slot
Algoa FM,slot,21:00-00:00,weekday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|weekday|21:00-00:00,radio_algoa_fm,radio_slot
Algoa FM,slot,00:00-06:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|00:00-06:00,radio_algoa_fm,radio_slot
Algoa FM,slot,06:00-09:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|06:00-09:00,radio_algoa_fm,radio_slot
Algoa FM,slot,09:00-12:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|09:00-12:00,radio_algoa_fm,radio_slot
Algoa FM,slot,12:00-15:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|12:00-15:00,radio_algoa_fm,radio_slot
Algoa FM,slot,15:00-18:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|15:00-18:00,radio_algoa_fm,radio_slot
Algoa FM,slot,18:00-21:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|18:00-21:00,radio_algoa_fm,radio_slot
Algoa FM,slot,21:00-00:00,saturday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|saturday|21:00-00:00,radio_algoa_fm,radio_slot
Algoa FM,slot,00:00-06:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|00:00-06:00,radio_algoa_fm,radio_slot
Algoa FM,slot,06:00-09:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|06:00-09:00,radio_algoa_fm,radio_slot
Algoa FM,slot,09:00-12:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|09:00-12:00,radio_algoa_fm,radio_slot
Algoa FM,slot,12:00-15:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|12:00-15:00,radio_algoa_fm,radio_slot
Algoa FM,slot,15:00-18:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|15:00-18:00,radio_algoa_fm,radio_slot
Algoa FM,slot,18:00-21:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|18:00-21:00,radio_algoa_fm,radio_slot
Algoa FM,slot,21:00-00:00,sunday,,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|slot|sunday|21:00-00:00,radio_algoa_fm,radio_slot
Algoa FM,package,,,Algoa Club - Plan A - Generic Only - 6 Months,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|package|Algoa Club - Plan A - Generic Only - 6 Months,radio_algoa_fm,radio_package
Algoa FM,package,,,Algoa Club - Plan A - Generic & Sponsorship - 6 Months,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|package|Algoa Club - Plan A - Generic & Sponsorship - 6 Months,radio_algoa_fm,radio_package
Algoa FM,package,,,Generic & Streaming Pre-Roll Package - 6 Months,94.0-97.0 MHz,regional,eastern_cape; western_cape,Gqeberha; Garden Route; Wild Coast; Karoo,english,"Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.",25-49,Balanced,LSM 6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape; Garden Route; regional lifestyle; family oriented; connected; events; music; news,,,,https://en.wikipedia.org/wiki/Algoa_FM; https://www.unitedstations.co.za/algoafm/; https://www.unitedstations.co.za/a-snapshot-of-algoa-fm-listeners/,,,radio_algoa_fm|package|Generic & Streaming Pre-Roll Package - 6 Months,radio_algoa_fm,radio_package
